,HEALTH,EDUC
0,2,11
1,3,16
2,2,16
3,3,15
4,2,11
5,3,12
6,2,12
7,4,18
8,3,18
9,3,18
10,4,15
11,3,12
12,2,4
13,3,10
14,3,14
15,3,8
16,3,15
17,3,16
18,3,16
19,4,14
20,3,18
21,3,18
22,3,16
23,3,5
24,2,13
25,3,16
26,4,16
27,4,18
28,3,16
29,4,16
30,3,14
31,4,16
32,3,11
33,3,12
34,3,14
35,4,12
36,2,12
37,3,6
38,3,14
39,4,12
40,4,16
41,4,18
42,4,13
43,3,14
44,3,14
45,4,18
46,4,18
47,4,13
48,3,16
49,4,16
50,3,13
51,4,19
52,3,13
53,4,15
54,3,12
55,4,15
56,3,12
57,4,16
58,3,16
59,3,12
60,3,11
61,3,12
62,3,16
63,3,15
64,4,14
65,4,20
66,4,16
67,4,16
68,3,13
69,3,16
70,2,16
71,4,14
72,2,16
73,4,13
74,4,12
75,3,8
76,3,12
77,2,12
78,3,12
79,3,12
80,2,9
81,3,14
82,3,13
83,3,16
84,3,14
85,3,12
86,2,18
87,3,12
88,3,12
89,3,15
90,3,12
91,3,18
92,3,13
93,4,15
94,3,18
95,3,16
96,2,16
97,3,11
98,3,16
99,4,11
100,3,15
101,3,16
102,3,20
103,3,13
104,3,14
105,3,7
106,3,12
107,3,16
108,1,14
109,3,14
110,3,17
111,3,12
112,3,12
113,4,19
114,4,17
115,3,16
116,3,18
117,4,18
118,3,15
119,1,9
120,3,15
121,1,7
122,3,16
123,3,16
124,3,12
125,3,8
126,3,6
127,4,18
128,3,12
129,4,14
130,3,13
131,4,16
132,2,13
133,3,12
134,4,15
135,3,12
136,3,16
137,4,16
138,4,20
139,4,18
140,3,13
141,4,12
142,3,14
143,3,14
144,3,12
145,3,20
146,4,12
147,2,14
148,3,14
149,3,16
150,3,12
151,4,12
152,3,16
153,3,16
154,3,17
155,3,20
156,4,18
157,3,20
158,3,20
159,4,16
160,4,17
161,3,16
162,3,16
163,4,16
164,4,15
165,3,12
166,4,15
167,2,12
168,4,12
169,4,12
170,3,15
171,3,12
172,4,14
173,3,16
174,3,17
175,4,16
176,3,12
177,3,15
178,3,13
179,4,16
180,4,12
181,3,20
182,3,12
183,2,8
184,1,8
185,2,6
186,3,14
187,4,16
188,3,12
189,4,12
190,3,12
191,3,16
192,3,19
193,3,13
194,2,12
195,2,12
196,3,14
197,3,12
198,3,12
199,3,16
200,2,12
201,3,20
202,3,16
203,4,14
204,4,18
205,3,11
206,3,14
207,3,17
208,3,18
209,3,18
210,3,14
211,3,13
212,4,17
213,4,14
214,3,13
215,3,10
216,1,6
217,3,18
218,3,13
219,3,11
220,4,12
221,3,17
222,3,13
223,3,15
224,4,6
225,3,12
226,4,14
227,1,12
228,3,14
229,4,12
230,2,12
231,3,17
232,4,16
233,3,12
234,1,10
235,3,12
236,3,12
237,3,16
238,3,13
239,4,16
240,4,12
241,3,14
242,4,19
243,4,8
244,3,14
245,3,17
246,2,14
247,3,16
248,3,14
249,4,16
250,3,16
251,3,12
252,3,9
253,2,11
254,3,15
255,3,12
256,2,12
257,4,16
258,4,16
259,3,15
260,4,15
261,3,16
262,3,14
263,2,15
264,4,18
265,3,9
266,3,10
267,1,12
268,4,12
269,3,14
270,3,12
271,3,15
272,3,9
273,4,10
274,3,12
275,3,13
276,3,14
277,1,8
278,2,12
279,2,13
280,3,15
281,4,12
282,3,12
283,3,12
284,4,16
285,3,14
286,3,12
287,3,18
288,3,16
289,2,12
290,3,12
291,3,12
292,3,12
293,3,8
294,4,12
295,3,13
296,3,12
297,3,16
298,3,20
299,2,12
300,3,18
301,4,14
302,4,16
303,3,17
304,3,14
305,3,13
306,3,12
307,3,19
308,3,13
309,4,12
310,2,13
311,3,12
312,3,15
313,3,12
314,1,12
315,3,14
316,3,12
317,4,12
318,4,17
319,4,16
320,4,16
321,4,11
322,3,18
323,3,13
324,3,12
325,3,12
326,4,12
327,3,12
328,3,15
329,4,12
330,3,12
331,3,16
332,2,12
333,4,12
334,3,12
335,3,17
336,2,15
337,4,11
338,4,14
339,4,12
340,3,15
341,3,15
342,3,15
343,4,15
344,4,13
345,2,13
346,3,11
347,3,12
348,4,12
349,3,12
350,3,12
351,4,16
352,4,12
353,3,13
354,3,14
355,1,8
356,4,16
357,3,12
358,4,12
359,3,10
360,3,12
361,3,13
362,3,12
363,4,12
364,3,12
365,3,12
366,3,6
367,3,16
368,2,12
369,3,12
370,3,12
371,3,14
372,2,12
373,4,11
374,3,14
375,3,8
376,2,12
377,3,14
378,3,11
379,4,11
380,4,14
381,3,16
382,3,11
383,1,9
384,1,13
385,4,11
386,3,11
387,3,12
388,3,11
389,3,11
390,3,14
391,3,18
392,4,13
393,3,12
394,2,12
395,3,14
396,4,16
397,3,14
398,3,16
399,3,13
400,3,12
401,3,13
402,3,12
403,4,12
404,3,13
405,4,8
406,4,12
407,3,13
408,4,13
409,3,14
410,4,16
411,3,12
412,3,14
413,2,16
414,3,14
415,3,14
416,4,8
417,1,12
418,3,12
419,3,14
420,3,12
421,3,13
422,4,12
423,3,9
424,1,14
425,4,14
426,3,12
427,3,12
428,2,0
429,3,18
430,2,12
431,3,12
432,3,19
433,4,16
434,3,12
435,4,14
436,4,13
437,4,12
438,3,12
439,3,11
440,3,7
441,3,12
442,2,12
443,2,12
444,3,7
445,3,8
446,3,6
447,3,11
448,2,12
449,3,12
450,3,12
451,3,12
452,3,12
453,3,16
454,4,17
455,3,12
456,2,8
457,3,16
458,3,16
459,4,14
460,2,12
461,1,10
462,3,16
463,3,8
464,2,4
465,4,12
466,3,12
467,3,12
468,1,8
469,2,12
470,3,13
471,3,12
472,4,14
